t,events,baseline_state,aeis_state
82,SPIKE_MQ2|CONF_DOWN:1.00->0.82|FORECAST_ESCALATION,NORMAL,CAUTION
83,FORECAST_ESCALATION,NORMAL,CAUTION
84,SPIKE_MQ2|CONF_DOWN:0.84->0.66|FORECAST_ESCALATION,CRITICAL,CRITICAL
85,FORECAST_ESCALATION,CRITICAL,CRITICAL
86,FORECAST_ESCALATION,CRITICAL,CRITICAL
87,FORECAST_ESCALATION,CRITICAL,CRITICAL
88,SPIKE_MQ2|CONF_DOWN:0.72->0.54|FORECAST_ESCALATION,CRITICAL,CRITICAL
89,FORECAST_ESCALATION,CRITICAL,CRITICAL
90,SPIKE_TEMP|CONF_DOWN:0.56->0.38|FORECAST_ESCALATION,CRITICAL,CRITICAL
91,FORECAST_ESCALATION,CRITICAL,CRITICAL
92,FORECAST_ESCALATION,CRITICAL,CRITICAL
93,FORECAST_ESCALATION,CRITICAL,CRITICAL
94,FORECAST_ESCALATION,CRITICAL,CRITICAL
95,FORECAST_ESCALATION,CRITICAL,CRITICAL
96,FORECAST_ESCALATION,CRITICAL,CRITICAL
97,SPIKE_TEMP|CONF_DOWN:0.50->0.32|FORECAST_ESCALATION,CRITICAL,CRITICAL
98,FORECAST_ESCALATION,CRITICAL,CRITICAL
99,FORECAST_ESCALATION,CRITICAL,CRITICAL
100,CONF_RECOVER:0.36->0.38|FORECAST_ESCALATION,CRITICAL,CRITICAL
107,SPIKE_MQ2|CONF_DOWN:0.50->0.32,CRITICAL,CAUTION
120,CONF_RECOVER:0.56->0.58,CRITICAL,CAUTION
140,CONF_RECOVER:0.96->0.98,CRITICAL,CAUTION
214,FORECAST_ESCALATION,CRITICAL,CRITICAL
215,FORECAST_ESCALATION,CRITICAL,CRITICAL
216,FORECAST_ESCALATION,CRITICAL,CRITICAL
217,FORECAST_ESCALATION,CRITICAL,CRITICAL
218,FORECAST_ESCALATION,CRITICAL,CRITICAL
219,FORECAST_ESCALATION,CRITICAL,CRITICAL
220,FORECAST_ESCALATION,CRITICAL,CRITICAL
221,FORECAST_ESCALATION,CRITICAL,CRITICAL
222,FORECAST_ESCALATION,CRITICAL,CRITICAL
223,FORECAST_ESCALATION,CRITICAL,CRITICAL
224,FORECAST_ESCALATION,CRITICAL,CRITICAL
225,FORECAST_ESCALATION,CRITICAL,CRITICAL
226,FORECAST_ESCALATION,CRITICAL,CRITICAL
