t,events,baseline_state,aeis_state
66,SPIKE_MQ2|CONF_DOWN:1.00->0.86|FORECAST_ESCALATION,CAUTION,CAUTION
67,FORECAST_ESCALATION,CAUTION,CRITICAL
68,SPIKE_MQ2|CONF_DOWN:0.89->0.74|FORECAST_ESCALATION,NORMAL,CAUTION
69,FORECAST_ESCALATION,NORMAL,CAUTION
70,FORECAST_ESCALATION,NORMAL,CAUTION
71,SPIKE_MQ2|CONF_DOWN:0.80->0.66|FORECAST_ESCALATION,CAUTION,CRITICAL
72,SPIKE_MQ2|CONF_DOWN:0.66->0.52|FORECAST_ESCALATION,NORMAL,CAUTION
73,FORECAST_ESCALATION,NORMAL,CAUTION
74,FORECAST_ESCALATION,NORMAL,CAUTION
77,SPIKE_MQ2|CONF_DOWN:0.62->0.48,NORMAL,CAUTION
78,SPIKE_MQ2|CONF_DOWN:0.48->0.34,NORMAL,NORMAL
79,SPIKE_MQ2|CONF_DOWN:0.34->0.20|FORECAST_ESCALATION,CAUTION,CRITICAL
80,CONF_RECOVER:0.20->0.22|FORECAST_ESCALATION,CAUTION,CRITICAL
81,FORECAST_ESCALATION,NORMAL,CRITICAL
82,SPIKE_MQ2|CONF_DOWN:0.25->0.11|FORECAST_ESCALATION,NORMAL,CRITICAL
83,FORECAST_ESCALATION,NORMAL,CRITICAL
84,FORECAST_ESCALATION,NORMAL,CAUTION
85,FORECAST_ESCALATION,NORMAL,CAUTION
86,SPIKE_MQ2|CONF_DOWN:0.18->0.05|FORECAST_ESCALATION,NORMAL,CRITICAL
87,FORECAST_ESCALATION,NORMAL,CRITICAL
88,SPIKE_MQ2|CONF_DOWN:0.08->0.05,NORMAL,NORMAL
90,SPIKE_TEMP|CONF_DOWN:0.08->0.05,CAUTION,NORMAL
91,SPIKE_TEMP,NORMAL,NORMAL
94,SPIKE_MQ2|CONF_DOWN:0.10->0.05|FORECAST_ESCALATION,CAUTION,CAUTION
95,SPIKE_MQ2,NORMAL,NORMAL
96,SPIKE_MQ2|SPIKE_TEMP|FORECAST_ESCALATION,CAUTION,CRITICAL
97,SPIKE_TEMP|FORECAST_ESCALATION,CAUTION,CRITICAL
98,SPIKE_MQ2|FORECAST_ESCALATION,NORMAL,CAUTION
99,FORECAST_ESCALATION,NORMAL,CAUTION
100,CONF_RECOVER:0.08->0.10|FORECAST_ESCALATION,NORMAL,CAUTION
107,SPIKE_MQ2|CONF_DOWN:0.25->0.11,NORMAL,CAUTION
108,SPIKE_MQ2|CONF_DOWN:0.11->0.05,CAUTION,CAUTION
109,SPIKE_MQ2|FORECAST_ESCALATION,NORMAL,CAUTION
110,SPIKE_MQ2|FORECAST_ESCALATION,CAUTION,CRITICAL
111,FORECAST_ESCALATION,NORMAL,CRITICAL
112,SPIKE_MQ2|CONF_DOWN:0.08->0.05|FORECAST_ESCALATION,NORMAL,CRITICAL
113,FORECAST_ESCALATION,NORMAL,CAUTION
114,FORECAST_ESCALATION,NORMAL,CAUTION
115,SPIKE_TEMP|CONF_DOWN:0.10->0.05,CAUTION,CAUTION
116,SPIKE_TEMP,NORMAL,NORMAL
120,SPIKE_MQ2|CONF_DOWN:0.12->0.05,NORMAL,CAUTION
121,SPIKE_MQ2|SPIKE_TEMP,NORMAL,NORMAL
122,SPIKE_TEMP,NORMAL,NORMAL
123,SPIKE_TEMP|FORECAST_ESCALATION,CAUTION,CAUTION
124,SPIKE_TEMP,NORMAL,CAUTION
127,SPIKE_MQ2|CONF_DOWN:0.10->0.05|FORECAST_ESCALATION,CAUTION,CRITICAL
128,FORECAST_ESCALATION,NORMAL,CRITICAL
129,SPIKE_MQ2|CONF_DOWN:0.08->0.05|FORECAST_ESCALATION,NORMAL,CAUTION
135,SPIKE_MQ2|CONF_DOWN:0.17->0.05,CAUTION,CAUTION
136,FORECAST_ESCALATION,CAUTION,CRITICAL
137,SPIKE_MQ2|CONF_DOWN:0.08->0.05,NORMAL,NORMAL
139,SPIKE_TEMP|CONF_DOWN:0.08->0.05,CAUTION,CAUTION
140,SPIKE_TEMP|FORECAST_ESCALATION,NORMAL,CAUTION
143,SPIKE_MQ2|CONF_DOWN:0.10->0.05|FORECAST_ESCALATION,CAUTION,CRITICAL
144,SPIKE_MQ2,NORMAL,NORMAL
149,SPIKE_MQ2|CONF_DOWN:0.15->0.05|FORECAST_ESCALATION,CAUTION,CAUTION
150,SPIKE_MQ2,NORMAL,NORMAL
151,SPIKE_MQ2|FORECAST_ESCALATION,CAUTION,CRITICAL
152,SPIKE_MQ2|FORECAST_ESCALATION,NORMAL,CAUTION
156,SPIKE_MQ2|CONF_DOWN:0.12->0.05|FORECAST_ESCALATION,NORMAL,CAUTION
157,SPIKE_MQ2,NORMAL,NORMAL
158,SPIKE_MQ2,NORMAL,CAUTION
159,FORECAST_ESCALATION,NORMAL,CAUTION
160,SPIKE_MQ2|CONF_DOWN:0.08->0.05,NORMAL,NORMAL
161,SPIKE_MQ2|FORECAST_ESCALATION,CAUTION,CRITICAL
162,SPIKE_MQ2,NORMAL,CAUTION
163,FORECAST_ESCALATION,NORMAL,CAUTION
175,SPIKE_MQ2|CONF_DOWN:0.35->0.21,NORMAL,CAUTION
176,SPIKE_MQ2|CONF_DOWN:0.21->0.07|FORECAST_ESCALATION,NORMAL,CAUTION
177,FORECAST_ESCALATION,NORMAL,CAUTION
178,FORECAST_ESCALATION,NORMAL,CAUTION
179,SPIKE_MQ2|CONF_DOWN:0.12->0.05|FORECAST_ESCALATION,CAUTION,CRITICAL
180,SPIKE_MQ2|FORECAST_ESCALATION,NORMAL,CAUTION
181,FORECAST_ESCALATION,NORMAL,CAUTION
182,FORECAST_ESCALATION,NORMAL,CAUTION
183,FORECAST_ESCALATION,NORMAL,CAUTION
200,CONF_RECOVER:0.53->0.55,NORMAL,NORMAL
