t,events,baseline_state,aeis_state
82,SPIKE_MQ2|CONF_DOWN:1.00->0.86|FORECAST_ESCALATION,NORMAL,CAUTION
83,SPIKE_MQ2|CONF_DOWN:0.86->0.72|FORECAST_ESCALATION,NORMAL,NORMAL
84,FORECAST_ESCALATION,NORMAL,NORMAL
85,FORECAST_ESCALATION,NORMAL,NORMAL
86,FORECAST_ESCALATION,NORMAL,NORMAL
87,FORECAST_ESCALATION,NORMAL,NORMAL
88,FORECAST_ESCALATION,NORMAL,NORMAL
91,SPIKE_MQ2|CONF_DOWN:0.90->0.76|FORECAST_ESCALATION,NORMAL,CAUTION
92,SPIKE_MQ2|CONF_DOWN:0.76->0.62|FORECAST_ESCALATION,NORMAL,NORMAL
94,FORECAST_ESCALATION,NORMAL,NORMAL
95,FORECAST_ESCALATION,NORMAL,NORMAL
96,FORECAST_ESCALATION,NORMAL,NORMAL
98,SPIKE_MQ2|CONF_DOWN:0.74->0.60|FORECAST_ESCALATION,NORMAL,CAUTION
99,FORECAST_ESCALATION,NORMAL,CRITICAL
100,SPIKE_MQ2|CONF_DOWN:0.63->0.49|FORECAST_ESCALATION,NORMAL,CAUTION
101,FORECAST_ESCALATION,NORMAL,NORMAL
102,SPIKE_MQ2|CONF_DOWN:0.51->0.37|FORECAST_ESCALATION,CAUTION,CRITICAL
103,SPIKE_MQ2|CONF_DOWN:0.37->0.23|FORECAST_ESCALATION,NORMAL,CAUTION
104,FORECAST_ESCALATION,NORMAL,CAUTION
105,FORECAST_ESCALATION,NORMAL,CAUTION
106,SPIKE_MQ2|CONF_DOWN:0.28->0.14|FORECAST_ESCALATION,NORMAL,CRITICAL
107,FORECAST_ESCALATION,NORMAL,CRITICAL
108,SPIKE_MQ2|CONF_DOWN:0.17->0.05|FORECAST_ESCALATION,NORMAL,CAUTION
111,FORECAST_ESCALATION,NORMAL,CAUTION
120,CONF_RECOVER:0.33->0.35,NORMAL,NORMAL
122,SPIKE_MQ2|CONF_DOWN:0.38->0.24,NORMAL,CAUTION
123,SPIKE_MQ2|CONF_DOWN:0.24->0.10,NORMAL,CAUTION
124,SPIKE_MQ2|CONF_DOWN:0.10->0.05|FORECAST_ESCALATION,NORMAL,CRITICAL
125,FORECAST_ESCALATION,NORMAL,CRITICAL
126,SPIKE_MQ2|CONF_DOWN:0.08->0.05|FORECAST_ESCALATION,NORMAL,CRITICAL
127,FORECAST_ESCALATION,NORMAL,CAUTION
128,FORECAST_ESCALATION,NORMAL,CAUTION
129,FORECAST_ESCALATION,NORMAL,CAUTION
130,SPIKE_MQ2|CONF_DOWN:0.12->0.05|FORECAST_ESCALATION,NORMAL,CRITICAL
131,SPIKE_MQ2|FORECAST_ESCALATION,NORMAL,CAUTION
140,CONF_RECOVER:0.25->0.27,NORMAL,NORMAL
160,CONF_RECOVER:0.75->0.78,NORMAL,NORMAL
